Add a new restaurant,2023-06-05 04:00:29.689
Add a new restaurant,2023-06-05 04:00:36.76
Display all restaurants,2023-06-05 04:00:38.771
Display all restaurants,2023-06-05 04:00:44.232
Update a restaurant,2023-06-05 04:00:50.838
Display all restaurants,2023-06-05 04:01:02.793
Display restaurants sorted by rating,2023-06-05 04:01:09.839
Display all restaurants,2023-06-05 04:01:15.633
Delete a restaurant,2023-06-05 04:01:18.579
Display restaurants sorted by rating,2023-06-05 04:01:25.128
Add a new dish,2023-06-05 04:01:41.715
Display all dishes,2023-06-05 04:01:43.939
Add a new dish,2023-06-05 04:01:53.237
Display all dishes,2023-06-05 04:01:57.237
Delete a dish,2023-06-05 04:02:00.422
Display all dishes,2023-06-05 04:02:05.124
Update a dish,2023-06-05 04:02:16.078
Display all dishes,2023-06-05 04:02:19.231
Add a new drink.,2023-06-05 04:03:30.502
Display all drinks.,2023-06-05 04:03:40.308
Update a drink.,2023-06-05 04:03:51.984
Display all drinks.,2023-06-05 04:03:56.538
Display all drinks.,2023-06-05 04:04:04.001
Delete a drink.,2023-06-05 04:04:05.128
Add a new drink.,2023-06-05 04:04:18.299
Display all drinks.,2023-06-05 04:04:21.056
Add a new client,2023-06-05 04:04:56.995
Display all clients,2023-06-05 04:05:07.879
Update a client,2023-06-05 04:05:11.642
Display all clients,2023-06-05 04:05:26.693
Update a client,2023-06-05 04:05:32.409
Display all clients,2023-06-05 04:05:43.079
Delete a client,2023-06-05 04:05:44.658
Add a new courier,2023-06-05 04:05:54.178
Display all couriers,2023-06-05 04:05:57.801
Add a new courier,2023-06-05 04:06:04.779
Display all couriers,2023-06-05 04:06:08.738
Update a courier,2023-06-05 04:06:14.45
Display all couriers,2023-06-05 04:06:18.083
Delete a courier,2023-06-05 04:06:19.304
Add a new restaurant,2023-06-06 18:00:28.545
Display all restaurants,2023-06-06 18:00:33.044
Add a new courier,2023-06-06 18:00:51.502
Display all couriers,2023-06-06 18:00:54.122
Add a new restaurant,2023-06-06 18:01:40.016
Display all restaurants,2023-06-06 18:01:49.024
Add a new restaurant,2023-06-06 18:35:20.67
Display all restaurants,2023-06-06 18:35:23.646
Add a new restaurant,2023-06-06 18:35:44.507
Display restaurants sorted by rating,2023-06-06 18:36:34.637
Display all restaurants,2023-06-06 18:36:44.46
Display all restaurants,2023-06-06 18:36:53.38
Update a restaurant,2023-06-06 18:36:59.661
Display restaurants sorted by rating,2023-06-06 18:37:02.722
Display all restaurants,2023-06-06 18:37:10.956
Delete a restaurant,2023-06-06 18:37:11.991
Display all restaurants,2023-06-06 18:37:15.562
